	Date	Open*	High	Low	Close**	Volume	Market Cap
455	2017-01-01	963.66	1003.08	958.7	998.33	147775008	15491200000
454	2017-01-02	998.62	1031.39	996.7	1021.75	222184992	16055100416
453	2017-01-03	1021.6	1044.08	1021.6	1043.84	185168000	16426600448
452	2017-01-04	1044.4	1159.42	1044.4	1154.73	344945984	16795400192
451	2017-01-05	1156.73	1191.1	910.42	1013.38	510199008	18603999232
450	2017-01-06	1014.24	1046.81	883.94	902.2	351876000	16314099712
449	2017-01-07	903.49	908.59	823.56	908.59	279550016	14534400000
448	2017-01-08	908.17	942.72	887.25	911.2	158715008	14611399680
447	2017-01-09	913.24	913.69	879.81	902.83	141876992	14694899712
446	2017-01-10	902.44	914.87	901.06	907.68	115808000	14522600448
445	2017-01-11	908.11	919.45	762.77	777.76	310928992	14615700480
444	2017-01-12	775.18	826.25	755.76	804.83	222326000	12477599744
443	2017-01-13	803.74	829.0	780.0	823.98	168968000	12939100160
442	2017-01-14	825.14	835.09	812.46	818.41	93063296	13285199872
441	2017-01-15	818.14	823.31	812.87	821.8	71013600	13174299648
440	2017-01-16	821.78	834.53	820.27	831.53	82755200	13234599936
439	2017-01-17	830.95	910.56	830.8	907.94	155095008	13383900160
438	2017-01-18	909.37	917.5	858.3	886.62	225676992	14648899584
437	2017-01-19	888.34	904.61	884.34	899.07	105625000	14311700480
436	2017-01-20	898.17	899.4	887.01	895.03	86728400	14472099840
435	2017-01-21	895.55	927.37	895.53	921.79	111158000	14432000000
434	2017-01-22	922.21	937.53	897.56	924.67	116573000	14863599616
433	2017-01-23	925.5	928.27	916.74	921.01	73588600	14918800384
432	2017-01-24	910.68	924.15	892.29	892.69	111349000	14681400320
431	2017-01-25	891.92	903.25	891.69	901.54	120831000	14380699648
430	2017-01-26	902.4	919.33	902.22	917.59	131958000	14551199744
429	2017-01-27	918.36	923.22	915.85	919.75	125594000	14810399744
428	2017-01-28	919.81	923.91	919.81	921.59	68979600	14835800064
427	2017-01-29	922.07	923.42	919.15	919.5	60851700	14874000384
426	2017-01-30	920.15	923.05	919.47	920.38	78227296	14844900352
425	2017-01-31	920.96	972.02	920.96	970.4	164582000	14859700224
424	2017-02-01	970.94	989.11	970.74	989.02	150110000	15667900416
423	2017-02-02	990.0	1013.52	983.22	1011.8	145820992	15977799680
422	2017-02-03	1011.46	1033.87	1008.79	1029.91	201278000	16326099968
421	2017-02-04	1031.33	1045.9	1015.16	1042.9	155064000	16648800256
420	2017-02-05	1043.52	1043.63	1022.37	1027.34	114208000	16847399936
419	2017-02-06	1028.4	1044.64	1028.16	1038.15	111762000	16605400064
418	2017-02-07	1040.14	1061.93	1040.14	1061.35	146007008	16796600320
417	2017-02-08	1062.32	1078.97	1037.49	1063.07	201855008	17156700160
416	2017-02-09	1064.7	1088.99	953.34	994.38	407220000	17197099008
415	2017-02-10	995.63	998.91	946.69	988.67	190452000	16083600384
414	2017-02-11	988.9	1009.29	982.83	1004.45	102261000	15976699904
413	2017-02-12	1003.52	1004.76	996.92	999.18	67530000	16214700032
412	2017-02-13	998.89	1002.1	976.0	990.64	100607000	16141500416
411	2017-02-14	991.73	1011.51	986.47	1004.55	137946000	16028000256
410	2017-02-15	1006.21	1008.84	1001.58	1007.48	89759400	16264099840
409	2017-02-16	1007.65	1033.37	1007.65	1027.44	122277000	16289099776
408	2017-02-17	1026.12	1053.17	1025.64	1046.21	136474000	16589599744
407	2017-02-18	1049.21	1061.1	1046.96	1054.42	99073504	16964800512
406	2017-02-19	1054.76	1056.81	1043.46	1047.87	77423296	17056600064
405	2017-02-20	1048.69	1080.49	1041.69	1079.98	109478000	16960199680
404	2017-02-21	1079.28	1117.25	1076.93	1115.3	186868992	17456900096
403	2017-02-22	1114.8	1125.39	1100.55	1117.44	136100000	18033399808
402	2017-02-23	1117.27	1176.62	1116.96	1166.72	189454000	18075199488
401	2017-02-24	1172.71	1200.39	1131.96	1173.68	330759008	18974400512
400	2017-02-25	1170.41	1174.85	1124.59	1143.84	139960992	18939500544
399	2017-02-26	1144.27	1167.47	1130.2	1165.2	116486000	18518900736
398	2017-02-27	1163.78	1181.98	1163.38	1179.97	131570000	18837299200
397	2017-02-28	1180.72	1193.25	1171.82	1179.97	184956000	19113598976
396	2017-03-01	1180.04	1222.5	1179.69	1222.5	229056992	19104800768
395	2017-03-02	1224.68	1262.13	1215.62	1251.01	368275008	19829800960
394	2017-03-03	1250.71	1280.31	1250.71	1274.99	315739008	20253700096
393	2017-03-04	1277.43	1279.4	1230.51	1255.15	183270000	20688799744
392	2017-03-05	1254.29	1267.29	1238.06	1267.12	134127000	20316000256
391	2017-03-06	1267.47	1276.0	1264.6	1272.83	153656992	20531900416
390	2017-03-07	1273.21	1275.55	1204.8	1223.54	291256000	20627099648
389	2017-03-08	1223.23	1232.16	1148.08	1150.0	332603008	19819800576
388	2017-03-09	1150.35	1197.46	1141.23	1188.49	212283008	18640900096
387	2017-03-10	1189.36	1270.47	1077.25	1116.72	563795968	19275300864
386	2017-03-11	1116.32	1193.83	1116.32	1175.83	283320000	18093699072
385	2017-03-12	1176.62	1226.98	1175.36	1221.38	227176000	19073300480
384	2017-03-13	1221.78	1237.37	1217.03	1231.92	380276992	19807700992
383	2017-03-14	1232.16	1244.81	1220.72	1240.0	245306000	19978199040
382	2017-03-15	1240.16	1251.61	1239.75	1249.61	297804992	20110399488
381	2017-03-16	1251.33	1257.98	1152.44	1187.81	638568000	20293699584
380	2017-03-17	1180.16	1180.16	1099.57	1100.23	706598976	19141799936
379	2017-03-18	1099.69	1114.07	957.66	973.82	621302016	17838700544
378	2017-03-19	976.73	1069.91	976.73	1036.74	406648000	15845999616
377	2017-03-20	1037.24	1063.03	1036.68	1054.23	286529984	16829800448
376	2017-03-21	1055.36	1122.43	1055.36	1120.54	337391008	17125600256
375	2017-03-22	1120.65	1120.65	1014.21	1049.14	380840992	18187100160
374	2017-03-23	1050.05	1058.01	1028.93	1038.59	248540000	17043399680
373	2017-03-24	1038.45	1040.47	934.36	937.52	491038016	16856999936
372	2017-03-25	936.54	975.76	903.71	972.78	435803008	15204800512
371	2017-03-26	974.02	1007.96	954.19	966.72	303668000	15814800384
370	2017-03-27	972.05	1046.4	971.98	1045.77	372535008	15784999936
369	2017-03-28	1044.58	1064.65	1027.73	1047.15	326332000	16964500480
368	2017-03-29	1046.08	1055.13	1015.88	1039.97	298457984	16990900224
367	2017-03-30	1042.21	1049.29	1020.04	1026.43	352968992	16929800192
366	2017-03-31	1026.64	1074.92	1026.64	1071.79	447287008	16679000064
365	2017-04-01	1071.71	1091.72	1061.09	1080.5	289633984	17412999168
364	2017-04-02	1080.61	1107.59	1075.45	1102.17	514187008	17559400448
363	2017-04-03	1102.95	1151.74	1102.95	1143.81	580444032	17924599808
362	2017-04-04	1145.52	1156.44	1120.52	1133.25	436310016	18619000832
361	2017-04-05	1134.14	1135.09	1113.63	1124.78	414784000	18435700736
360	2017-04-06	1125.81	1188.37	1125.81	1182.68	511222016	18302599168
359	2017-04-07	1178.94	1186.58	1163.39	1176.9	317022016	19168499712
358	2017-04-08	1172.65	1184.98	1162.58	1175.95	209312000	19068600320
357	2017-04-09	1176.57	1197.21	1171.86	1187.87	242343008	19134400512
356	2017-04-10	1187.3	1190.34	1179.04	1187.13	215883008	19311200256
